id,flight_number,date,departure_time,arrival_time,from_airport,to_airport,booking_ref,notes,country,created_at,updated_at,arrival_date,duration
01089b54-f55f-4451-8523-bbf830f00fb6,JR WEST Kodama 958,2026-09-14,14:54:00,16:37:00,"Fukuoka, Hakata Station","Hiroshima, Hiroshima Station",,1193 Kč,Vlak,2026-05-24 15:36:38.642003+00,2026-07-25 07:07:00.558883+00,2026-09-14,1 h 43 m
49f23370-c6e1-414a-a8b9-3ff68ed1fc25,JR West Nozomi 26,2026-09-16,12:43:00,14:19:00,"Hiroshima, Hiroshima Station","Kyoto, Kyoto Station",,1634 Kč,Vlak,2026-05-24 15:37:25.224872+00,2026-05-30 08:10:37.883728+00,2026-09-16,1h 36m
5d4c3be3-3f5f-4dac-a914-7b0bd7b5a34e,JR CENTRAL Hikari 706,2026-09-20,12:07:00,14:42:00,"Kyoto, Kyoto Station","Tokyo, Tokyo Station",,1854 Kč,Vlak,2026-05-24 15:39:09.031605+00,2026-05-30 08:26:05.714441+00,2026-09-20,2h 35m
671da391-ca4d-4d6a-be89-77347e871296,SRT327,2026-09-10,12:51:00,13:25:00,"Gyeongju, Gyeongju Station","Busan, Busan Station",,"RADĚJI BUS! Nový zážitek, jede přímo do centra, není nutné kupovat předem",Vlak,2026-05-24 15:35:23.281401+00,2026-07-25 08:00:24.781038+00,2026-09-10,34 m
84a4827d-aaef-40e5-b6e2-37ea9550e2af,EY822,2026-09-04,21:10:00,10:50:00,Abu Dhabi,Seoul,8GTIMB,byznys,Letadlo,2026-05-24 15:06:24.489742+00,2026-05-29 04:12:31.515844+00,2026-09-05,8 h 40 m
9b76a30f-a9a7-4d40-a4b4-0d1a0d1b1e2a,JR EAST Ōfuna,2026-09-23,08:43:00,09:30:00,Tokyo,"Yokohama, Ishikawachō",,100 Kč,Letadlo,2026-05-30 08:31:03.325566+00,2026-05-30 08:31:03.325566+00,2026-09-23,0h 47m
a667f58f-0cba-43c5-b51f-f1fc16eb612d,EY155,2026-09-27,02:50:00,07:05:00,Abu Dhabi,Praha,8GTIMB,byznys,Letadlo,2026-05-24 15:18:09.192599+00,2026-05-29 04:12:39.422158+00,2026-09-27,6 h 15 m
ab0e91c4-1168-41f9-a9e9-cdb26639dd09,SRT315,2026-09-09,08:05:00,10:17:00,"Seoul, Suseo SRT","Gyeongju, Gyeongju Station",,Suseo High Speed Railway · SRT315,Vlak,2026-05-24 15:31:30.178409+00,2026-05-30 02:16:46.654851+00,2026-09-09,2 h 12 m
b43dfc4b-9ecb-4d48-86af-bf597f2a0c67,JR CENTRAL Kodama 860,2026-09-19,19:51:00,20:05:00,"Osaka, Shin-Osaka station","Kyoto, Kyoto Station",,202 Kč,Vlak,2026-05-24 15:38:41.66087+00,2026-05-30 08:16:57.251465+00,2026-09-19,0h 14m
b9e55857-7026-46c2-bdb4-0b7e5900d00c,Air Busan · BX142,2026-09-14,10:00:00,10:55:00,"Busan, Gimhae International Airport T1","Fukuoka, Fukuoka Airport T1",,2161 Kč,Letadlo,2026-05-24 15:36:02.409967+00,2026-05-30 08:05:48.563956+00,2026-09-14,55 m
bbc0a222-a784-41b7-a4b7-079026848cd6,,2026-09-23,,,Yokohama,Tokyo,,,Vlak,2026-05-30 08:45:05.244077+00,2026-05-30 08:45:05.244077+00,2026-09-23,
cd259344-c843-4b53-beae-2817aba25f15,EY156,2026-09-04,11:20:00,19:05:00,Praha,Abu Dhabi,8GTIMB,byznys,Letadlo,2026-05-24 12:46:33.416814+00,2026-05-29 04:12:44.298191+00,2026-09-04,5 h 45 m
e68f676f-c857-471f-94e6-c7df4bc5d491,JR CENTRAL Nozomi 26,2026-09-19,08:01:00,08:13:00,"Kyoto, Kyoto Station","Osaka, shin-osaka station",,388 Kč,Vlak,2026-05-24 15:38:16.174795+00,2026-05-30 08:13:48.712891+00,2026-09-19,0h 12m
e871cb83-3b4d-4eae-a3e1-8437a7c379d0,EY801,2026-09-26,18:00:00,00:20:00,Tokyo,Abu Dhabi,8GTIMB,byznys,Letadlo,2026-05-24 15:16:58.368412+00,2026-05-29 04:12:51.913175+00,2026-09-27,11 h 20 m
